VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,1820;1,9447;False;2227;40;40,7756;-73,9605;40,7731;-73,9603;40,7804;-73,9498;40,7776;-73,9488;157,1658;0,0047;0,0119;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,8611;1,6238;False;1432;40;40,7756;-73,9605;40,7731;-73,9603;40,7743;-73,9634;40,7718;-73,9632;131,2327;-0,0011;-0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,2548;2,0175;False;1743;40;40,7756;-73,9605;40,7731;-73,9603;40,7724;-73,9671;40,7698;-73,9669;163,0488;-0,0034;-0,0069;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,8476;2,6103;False;2205;40;40,7756;-73,9605;40,7731;-73,9603;40,7684;-73,9534;40,7657;-73,9531;210,9615;-0,0073;0,0070;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4966;1,2593;False;987;40;40,7756;-73,9605;40,7731;-73,9603;40,7865;-73,9546;40,7840;-73,9543;101,7750;0,0110;0,0061;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4835;1,2462;False;1617;40;40,7756;-73,9605;40,7731;-73,9603;40,7800;-73,9469;40,7772;-73,9460;100,7171;0,0038;0,0144;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,3728;2,1354;False;2793;40;40,7756;-73,9605;40,7731;-73,9603;40,7911;-73,9534;40,7886;-73,9533;172,5840;0,0158;0,0068;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9526;1,7153;False;2282;40;40,7756;-73,9605;40,7731;-73,9603;40,7833;-73,9708;40,7797;-73,9706;138,6260;0,0073;-0,0097;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0394;1,8020;False;2258;40;40,7756;-73,9605;40,7731;-73,9603;40,7884;-73,9706;40,7854;-73,9693;145,6369;0,0126;-0,0087;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,8103;1,5729;False;1089;40;40,7756;-73,9605;40,7731;-73,9603;40,7618;-73,9653;40,7594;-73,9652;127,1237;-0,0136;-0,0048;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;5,3900;4,1527;False;1817;40;40,7756;-73,9605;40,7731;-73,9603;40,7776;-73,9750;40,7718;-73,9675;335,6141;0,0006;-0,0110;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9483;1,7110;False;1991;40;40,7756;-73,9605;40,7731;-73,9603;40,7609;-73,9508;40,7592;-73,9520;138,2814;-0,0146;0,0095;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,4596;2,2223;False;1701;40;40,7756;-73,9605;40,7731;-73,9603;40,7675;-73,9613;40,7648;-73,9608;179,6034;-0,0083;-0,0005;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,5255;1,2882;False;907;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9631;40,7724;-73,9630;104,1084;-0,0008;-0,0028;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,4951;3,2578;False;3076;40;40,7756;-73,9605;40,7731;-73,9603;40,7878;-73,9476;40,7853;-73,9473;263,2886;0,0121;0,0124;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,0097;1,7723;False;2521;40;40,7756;-73,9605;40,7731;-73,9603;40,7724;-73,9589;40,7704;-73,9600;143,2373;-0,0032;0,0011;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,2238;1,9864;False;1752;40;40,7756;-73,9605;40,7731;-73,9603;40,7776;-73,9551;40,7747;-73,9542;160,5404;0,0022;0,0055;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,8818;2,6445;False;2630;40;40,7756;-73,9605;40,7731;-73,9603;40,7671;-73,9543;40,7649;-73,9552;213,7257;-0,0084;0,0058;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6906;1,4532;False;1812;40;40,7756;-73,9605;40,7731;-73,9603;40,7678;-73,9697;40,7654;-73,9699;117,4493;-0,0079;-0,0092;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6756;1,4383;False;1149;40;40,7756;-73,9605;40,7731;-73,9603;40,7615;-73,9625;40,7589;-73,9623;116,2426;-0,0141;-0,0019;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,1409;0,9035;False;3499;40;40,7756;-73,9605;40,7731;-73,9603;40,7867;-73,9567;40,7848;-73,9580;73,0222;0,0118;0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,8485;1,6112;False;2129;40;40,7756;-73,9605;40,7731;-73,9603;40,7710;-73,9468;40,7695;-73,9482;130,2115;-0,0045;0,0136;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,3821;1,1447;False;3526;40;40,7756;-73,9605;40,7731;-73,9603;40,7718;-73,9675;40,7700;-73,9689;92,5157;-0,0024;-0,0094;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,5342;2,2969;False;1976;40;40,7756;-73,9605;40,7731;-73,9603;40,7731;-73,9664;40,7705;-73,9664;185,6298;-0,0025;-0,0059;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,5298;1,2925;False;2016;40;40,7756;-73,9605;40,7731;-73,9603;40,7828;-73,9714;40,7806;-73,9717;104,4576;0,0075;-0,0113;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;5,4466;4,2092;False;2845;40;40,7756;-73,9605;40,7731;-73,9603;40,7793;-73,9774;40,7766;-73,9768;340,1845;0,0036;-0,0168;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,6034;2,3661;False;2257;40;40,7756;-73,9605;40,7731;-73,9603;40,7740;-73,9567;40,7713;-73,9563;191,2252;-0,0019;0,0042;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;;;;True;4680;40;40,7756;-73,9605;40,7731;-73,9603;;;;;;0,0031;-0,0088;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4395;0,2022;False;3107;40;40,7756;-73,9605;40,7731;-73,9603;40,7784;-73,9674;40,7781;-73,9663;16,3391;0,0041;-0,0062;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,5149;1,2775;False;1095;40;40,7756;-73,9605;40,7731;-73,9603;40,7685;-73,9586;40,7659;-73,9575;103,2472;-0,0071;0,0022;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,8919;2,6546;False;3256;40;40,7756;-73,9605;40,7731;-73,9603;40,7756;-73,9505;40,7735;-73,9513;214,5395;0,0003;0,0098;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,7698;0,5325;False;3154;40;40,7756;-73,9605;40,7731;-73,9603;40,7912;-73,9615;40,7903;-73,9600;43,0354;0,0167;-0,0001;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,2527;2,0153;False;1876;40;40,7756;-73,9605;40,7731;-73,9603;40,7896;-73,9576;40,7882;-73,9562;162,8779;0,0151;0,0040;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,7972;2,5599;False;1907;40;40,7756;-73,9605;40,7731;-73,9603;40,7651;-73,9712;40,7625;-73,9708;206,8878;-0,0105;-0,0109;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,8643;2,6270;False;1853;40;40,7756;-73,9605;40,7731;-73,9603;40,7815;-73,9543;40,7791;-73,9545;212,3069;0,0060;0,0059;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2501;0,0127;False;327;40;40,7756;-73,9605;40,7731;-73,9603;40,7822;-73,9444;40,7798;-73,9445;1,0297;0,0067;0,0159;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6945;1,4572;False;1713;40;40,7756;-73,9605;40,7731;-73,9603;40,7807;-73,9727;40,7786;-73,9743;117,7657;0,0049;-0,0124;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,7599;3,5226;False;2250;40;40,7756;-73,9605;40,7731;-73,9603;40,7823;-73,9514;40,7799;-73,9505;284,6913;0,0067;0,0091;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6851;1,4478;False;1476;40;40,7756;-73,9605;40,7731;-73,9603;40,7933;-73,9663;40,7898;-73,9661;117,0068;0,0169;-0,0054;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,6858;3,4485;False;2902;40;40,7756;-73,9605;40,7731;-73,9603;40,7744;-73,9514;40,7720;-73,9518;278,7026;-0,0013;0,0086;2,0000
