Run_ID;CSV_Origem;Trajectory_ID;VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
77;vehicles_step_sim_10.csv;vehicles_step_sim_10__run077__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1483;0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7638;-73,9544;40,7594;-73,9575;0,0094;-0,0118;0,0063;2,0000
78;vehicles_step_sim_10.csv;vehicles_step_sim_10__run078__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1476;-0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7895;-73,9620;40,7851;-73,9651;-0,0110;0,0139;-0,0013;2,0000
79;vehicles_step_sim_10.csv;vehicles_step_sim_10__run079__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1481;0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7703;-73,9658;40,7659;-73,9689;0,0042;-0,0054;-0,0051;2,0000
80;vehicles_step_sim_10.csv;vehicles_step_sim_10__run080__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1477;-0,0003;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7858;-73,9691;40,7814;-73,9723;-0,0080;0,0102;-0,0085;2,0000
81;vehicles_step_sim_10.csv;vehicles_step_sim_10__run081__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1483;0,0004;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7611;-73,9693;40,7567;-73,9724;0,0115;-0,0145;-0,0086;2,0000
82;vehicles_step_sim_10.csv;vehicles_step_sim_10__run082__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1476;-0,0004;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7908;-73,9651;40,7864;-73,9682;-0,0120;0,0152;-0,0044;2,0000
83;vehicles_step_sim_10.csv;vehicles_step_sim_10__run083__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1478;-0,0002;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7820;-73,9552;40,7776;-73,9584;-0,0050;0,0063;0,0054;2,0000
84;vehicles_step_sim_10.csv;vehicles_step_sim_10__run084__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1481;0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7717;-73,9663;40,7673;-73,9694;0,0032;-0,0040;-0,0056;2,0000
85;vehicles_step_sim_10.csv;vehicles_step_sim_10__run085__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1480;-0,0000;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7759;-73,9629;40,7714;-73,9660;-0,0002;0,0002;-0,0022;2,0000
86;vehicles_step_sim_10.csv;vehicles_step_sim_10__run086__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1484;0,0004;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7602;-73,9611;40,7558;-73,9642;0,0122;-0,0154;-0,0004;2,0000
87;vehicles_step_sim_10.csv;vehicles_step_sim_10__run087__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1480;0,0000;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7752;-73,9604;40,7708;-73,9636;0,0004;-0,0005;0,0002;2,0000
88;vehicles_step_sim_10.csv;vehicles_step_sim_10__run088__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1481;0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7697;-73,9454;40,7653;-73,9485;0,0047;-0,0059;0,0153;2,0000
89;vehicles_step_sim_10.csv;vehicles_step_sim_10__run089__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1480;-0,0000;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7760;-73,9440;40,7716;-73,9471;-0,0003;0,0003;0,0167;2,0000
90;vehicles_step_sim_10.csv;vehicles_step_sim_10__run090__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1589;301;301;0;0,0000;3,1480;3,1481;0,0001;False;0;0;40,7756;-73,9607;40,7712;-73,9638;40,7698;-73,9643;40,7654;-73,9674;0,0046;-0,0058;-0,0036;2,0000
