# StartTime = 01/19/2024 01:25:31.1282 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (km/h), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Engine RPM (RPM), Mass air flow rate (g/s), Absolute throttle position (%), Fuel level input (%), GPS Speed (km/h), Fuel rate (l/hr), Alcohol fuel percentage (%), Engine fuel rate (l/hr), Vehicle Fuel Rate (g/s), Fuel Remaining (l), Fuel Level Input A (%), Fuel Level Input B (%), Instant fuel economy (l/100 km), Calculated load value (%), Fuel rail pressure (kPa), Fuel rail pressure relative to manifold vacuum (kPa), Accelerator pedal position D (%), Accelerator pedal position E (%)
6.245,-23.03084,-44.54684,11,-1.26606,0.1759424,0.4575972,1759.75,13.28,34.5098,73.72549,10.86081,4.419488,32.15686,0,0,10.32157,0,0,40.17714,69.41177,0,0,36.07843,18.43137
6.248,-23.03084,-44.54684,11,-0.90025,-0.007990893,0.2868751,1759.75,13.28,34.5098,73.72549,10.86081,4.419488,32.15686,0,0,10.32157,0,0,40.17714,69.41177,0,0,36.07843,18.43137
6.250,-23.03084,-44.54684,11,-0.2957126,-0.08037501,-0.01177986,1759.75,13.28,34.5098,73.72549,10.86081,4.419488,32.15686,0,0,10.32157,0,0,40.17714,69.41177,0,0,36.07843,18.43137
7.268,-23.03082,-44.5468,14,0.5784364,-0.1499839,0.2418286,2274.75,20.16,36.07843,73.72549,16.03553,6.709103,32.15686,0,0,10.32157,0,0,47.92213,64.31373,0,0,36.86274,18.82353
7.273,-23.03082,-44.5468,14,0.1196356,-0.4700121,0.5140488,2274.75,20.16,36.07843,73.72549,16.03553,6.709103,32.15686,0,0,10.32157,0,0,47.92213,64.31373,0,0,36.86274,18.82353
7.275,-23.03082,-44.5468,14,0.1196356,-0.4700121,0.5140488,2274.75,20.16,36.07843,73.72549,16.03553,6.709103,32.15686,0,0,10.32157,0,0,47.92213,64.31373,0,0,36.86274,18.82353
7.277,-23.03082,-44.5468,14,0.1196356,-0.4700121,0.5140488,2274.75,20.16,36.07843,73.72549,16.03553,6.709103,32.15686,0,0,10.32157,0,0,47.92213,64.31373,0,0,36.86274,18.82353
8.275,-23.0308,-44.54676,20,-0.4994996,0.3224265,0.02024056,1869.25,25.31,47.45098,73.72549,21.58492,8.422985,32.15686,0,0,10.32157,0,0,42.11489,95.68627,0,0,38.43137,19.60784
8.280,-23.0308,-44.54676,20,-0.6451115,0.4609704,0.2057367,1869.25,25.31,47.45098,73.72549,21.58492,8.422985,32.15686,0,0,10.32157,0,0,42.11489,95.68627,0,0,38.43137,19.60784
8.283,-23.0308,-44.54676,20,-0.6451115,0.4609704,0.2057367,1869.25,25.31,47.45098,73.72549,21.58492,8.422985,32.15686,0,0,10.32157,0,0,42.11489,95.68627,0,0,38.43137,19.60784
8.285,-23.0308,-44.54676,20,-0.3148975,0.4310989,0.3364686,1869.25,25.31,47.45098,73.72549,21.58492,8.422985,32.15686,0,0,10.32157,0,0,42.11489,95.68627,0,0,38.43137,19.60784
9.254,-23.03077,-44.5467,25,-0.5515769,-2.023984,1.952688,2288,30.14,49.41177,73.72549,24.82302,10.03037,32.15686,0,0,10.32157,0,0,40.12147,95.29412,0,0,36.86274,18.03922
9.257,-23.03077,-44.5467,25,-0.5515769,-2.023984,1.952688,2288,30.14,49.41177,73.72549,24.82302,10.03037,32.15686,0,0,10.32157,0,0,40.12147,95.29412,0,0,36.86274,18.03922
9.257,-23.03077,-44.5467,25,-0.5515769,-2.023984,1.952688,2288,30.14,49.41177,73.72549,24.82302,10.03037,32.15686,0,0,10.32157,0,0,40.12147,95.29412,0,0,36.86274,18.03922
9.260,-23.03077,-44.5467,25,-0.5515769,-2.023984,1.952688,2288,30.14,49.41177,73.72549,24.82302,10.03037,32.15686,0,0,10.32157,0,0,40.12147,95.29412,0,0,36.86274,18.03922
10.262,-23.03075,-44.54663,29,0.7259419,-0.03596518,-0.2691766,2426,23.82,36.07843,73.72549,30.23508,7.927124,32.15686,0,0,10.32157,0,0,27.33489,69.01961,0,0,34.5098,17.64706
10.268,-23.03075,-44.54663,29,0.07780658,-0.2729883,-0.08740554,2426,23.82,36.07843,73.72549,30.23508,7.927124,32.15686,0,0,10.32157,0,0,27.33489,69.01961,0,0,34.5098,17.64706
10.270,-23.03075,-44.54663,29,0.07780658,-0.2729883,-0.08740554,2426,23.82,36.07843,73.72549,30.23508,7.927124,32.15686,0,0,10.32157,0,0,27.33489,69.01961,0,0,34.5098,17.64706
10.278,-23.03075,-44.54663,29,0.07780658,-0.2729883,-0.08740554,2426,23.82,36.07843,73.72549,30.23508,7.927124,32.15686,0,0,10.32157,0,0,27.33489,69.01961,0,0,34.5098,17.64706
11.262,-23.03072,-44.54655,31,-1.080572,0.3178481,0.08645707,1810.5,22.78,38.82353,94.5098,32.49441,7.581019,32.15686,0,0,13.23137,0,0,24.45488,85.88235,0,0,34.90196,17.64706
11.271,-23.03072,-44.54655,31,0.3040345,0.3861113,-0.3249998,1810.5,22.78,38.82353,94.5098,32.49441,7.581019,32.15686,0,0,13.23137,0,0,24.45488,85.88235,0,0,34.90196,17.64706
11.273,-23.03072,-44.54655,31,0.3040345,0.3861113,-0.3249998,1810.5,22.78,38.82353,94.5098,32.49441,7.581019,32.15686,0,0,13.23137,0,0,24.45488,85.88235,0,0,34.90196,17.64706
11.278,-23.03072,-44.54655,31,0.3040345,0.3861113,-0.3249998,1810.5,22.78,38.82353,94.5098,32.49441,7.581019,32.15686,0,0,13.23137,0,0,24.45488,85.88235,0,0,34.90196,17.64706
12.230,-23.03068,-44.54646,36,0.2589823,0.09518205,-0.8656056,2041.75,23.38,37.64706,94.5098,36.34901,7.780695,32.15686,0,0,13.23137,0,0,21.61303,79.21568,0,0,34.90196,17.64706
12.233,-23.03068,-44.54646,36,-0.6933318,-0.04832136,-0.1468015,2041.75,23.38,37.64706,94.5098,36.34901,7.780695,32.15686,0,0,13.23137,0,0,21.61303,79.21568,0,0,34.90196,17.64706
12.234,-23.03068,-44.54646,36,-0.6933318,-0.04832136,-0.1468015,2041.75,23.38,37.64706,94.5098,36.34901,7.780695,32.15686,0,0,13.23137,0,0,21.61303,79.21568,0,0,34.90196,17.64706
12.237,-23.03068,-44.54646,36,-0.6933318,-0.04832136,-0.1468015,2041.75,23.38,37.64706,94.5098,36.34901,7.780695,32.15686,0,0,13.23137,0,0,21.61303,79.21568,0,0,34.90196,17.64706
13.265,-23.03064,-44.54637,37,-1.370957,-0.4780688,0.106056,2132.25,23.51,32.54902,94.5098,37.04193,7.823958,32.15686,0,0,13.23137,0,0,21.14582,38.03922,0,0,20.78431,10.58823
13.273,-23.03064,-44.54637,37,-1.370957,-0.4780688,0.106056,2132.25,23.51,32.54902,94.5098,37.04193,7.823958,32.15686,0,0,13.23137,0,0,21.14582,38.03922,0,0,20.78431,10.58823
13.273,-23.03064,-44.54637,37,-1.370957,-0.4780688,0.106056,2132.25,23.51,32.54902,94.5098,37.04193,7.823958,32.15686,0,0,13.23137,0,0,21.14582,38.03922,0,0,20.78431,10.58823
13.274,-23.03064,-44.54637,37,-1.370957,-0.4780688,0.106056,2132.25,23.51,32.54902,94.5098,37.04193,7.823958,32.15686,0,0,13.23137,0,0,21.14582,38.03922,0,0,20.78431,10.58823
14.264,-23.0306,-44.54627,38,0.9867805,-0.153459,-0.9271754,1651.5,5.49,21.96078,94.5098,38.17188,1.827032,32.15686,0,0,13.23137,0,0,4.807976,22.7451,0,0,20.78431,10.58823
14.269,-23.0306,-44.54627,38,0.9867805,-0.153459,-0.9271754,1651.5,5.49,21.96078,94.5098,38.17188,1.827032,32.15686,0,0,13.23137,0,0,4.807976,22.7451,0,0,20.78431,10.58823
14.271,-23.0306,-44.54627,38,0.9867805,-0.153459,-0.9271754,1651.5,5.49,21.96078,94.5098,38.17188,1.827032,32.15686,0,0,13.23137,0,0,4.807976,22.7451,0,0,20.78431,10.58823
14.275,-23.0306,-44.54627,38,0.9867805,-0.153459,-0.9271754,1651.5,5.49,21.96078,94.5098,38.17188,1.827032,32.15686,0,0,13.23137,0,0,4.807976,22.7451,0,0,20.78431,10.58823
15.255,-23.03055,-44.54618,38,1.937038,-0.1336211,1.167241,1579.75,5,21.96078,94.5098,37.82711,1.663964,32.15686,0,0,13.23137,0,0,4.378849,22.7451,0,0,20.78431,10.58823
15.265,-23.03055,-44.54618,38,0.009220657,0.3120369,1.256721,1579.75,5,21.96078,94.5098,37.82711,1.663964,32.15686,0,0,13.23137,0,0,4.378849,22.7451,0,0,20.78431,10.58823
15.266,-23.03055,-44.54618,38,0.009220657,0.3120369,1.256721,1579.75,5,21.96078,94.5098,37.82711,1.663964,32.15686,0,0,13.23137,0,0,4.378849,22.7451,0,0,20.78431,10.58823
