vehicle_id,model,fuel_type,start_time,end_time,start_lat,start_lon,end_lat,end_lon,distance,distance_city,distance_highway,CO2,NOx,PMx
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:56:28,2126-11-19 13:56:47,-22.811117826111777,-43.219544768853945,-22.811694425884274,-43.2192338313989,37.792789219561435,25.168297141118835,12.7244921784526,12218.18571172267,3.3921344436851115,1.8473117965685181
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:56:47,2126-11-19 13:56:47,-22.811694425884274,-43.2192338313989,-22.811678112141894,-43.219144282952366,37.81171437179974,25.176212192347146,12.7244921784526,12218.18571172267,3.3921344436851115,1.8473117965685181
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:56:47,2126-11-19 13:56:51,-22.811678112141894,-43.219144282952366,-22.7981656628416,-43.211968941498976,41.91191885527781,28.363915398232582,13.538113457145233,13393.32799145341,3.7291812531934387,1.9378211287138482
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:56:51,2126-11-19 13:57:13,-22.7981656628416,-43.211968941498976,-22.8116967581581,-43.21924655516225,77.16919191518486,51.17217845281766,25.997112462267214,24212.337229964196,6.713149412881556,1.727454217716548
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.8116967581581,-43.21924655516225,-22.811679863121266,-43.2191543813196,77.17721269173273,51.18111122946552,25.997112462267214,24214.229236624375,6.713733112461911,1.7276834277191937
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.811679863121266,-43.2191543813196,-22.81165954432465,-43.21914352844112,77.18685974515163,51.189747282784415,25.997112462267214,24219.451187274392,6.715281411259249,1.7279652325815472
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.81165954432465,-43.21914352844112,-22.811635763425728,-43.21891378799636,77.19846179178846,51.11134932852126,25.997112462267214,24226.158978514157,6.7171245514711685,1.7283146611244592
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.811635763425728,-43.21891378799636,-22.81161131834742,-43.21878137111157,77.11214164535127,51.11492818318416,25.997112462267214,24233.79111962817,6.719183347813465,1.7287121331629996
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.81161131834742,-43.21878137111157,-22.811586576121445,-43.218645441313656,77.12611439411352,51.12889193174632,25.997112462267214,24236.883181865635,6.719919381854598,1.729113488836712
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:13,-22.811586576121445,-43.218645441313656,-22.811561321411428,-43.2185153594193,77.14112638679387,51.14311392452666,25.997112462267214,24239.321646188778,6.711595162814142,1.7295185975269419
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:13,2126-11-19 13:57:37,-22.811561321411428,-43.2185153594193,-22.798317181347836,-43.21458323723583,121.33695627637275,77.95168329331433,42.38627298315842,37116.78752283783,11.232591148985291,2.7162612411734725
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:37,2126-11-19 13:57:37,-22.798317181347836,-43.21458323723583,-22.798224143897166,-43.21461118116725,121.34491194174116,77.95863795768166,42.38627298315842,37119.52761298175,11.233451121556186,2.7164896224218713
1,HBEFA4/PC_petrol_Euro-6ab,Gasoline,2126-11-19 13:57:37,2126-11-19 13:57:37,-22.798224143897166,-43.21461118116725,-22.798131137881834,-43.21461517488886,121.35427886127738,77.96811587821896,42.38627298315842,37114.21917825996,11.234854471938444,2.7167625369189915
