worker_id,total_txs,successful_txs,failed_txs,duration_s,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_tx_s
4,1000,999,1,30215.84,30144.43,18900.52,32700.17,0.03
5,1000,1000,0,30156.00,30155.19,27598.51,32678.60,0.03
6,1000,1000,0,30155.40,30154.58,25175.91,35529.93,0.03
7,1000,1000,0,30155.54,30154.71,27600.64,32709.53,0.03
8,1000,1000,0,30155.46,30154.63,27594.47,32733.24,0.03
1,1000,1000,0,30155.87,30155.05,27585.28,32695.20,0.03
2,1000,1000,0,30156.29,30155.47,27581.72,32714.29,0.03
3,1000,1000,0,30155.67,30154.85,27568.54,32715.84,0.03
