linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
1,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xaeb71b8ef58dc39d94328099f6cc427fda3b8f291995da17d7122993fa58ca71,23795,32097,8605,4302,0.000236,24970.69,24159.93,
1,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x3505a7d191cd93383f5b88f0c81334be5688f7206d6de3a7eb38494439e1c88b,23795,32097,8605,4302,0.000236,24973.89,24158.63,
2,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xa9a8035fa64430b9b81178bddd9b011caadd81bf5e0b1a1259a1446c2560fa16,23796,32097,11874,5937,0.000326,29640.50,29163.90,
2,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x420d91f4fdb219bdf2241de73d6be439addb0c351f3e858b2b45aaf5a5f05fcd,23796,32097,11874,5937,0.000326,29640.75,29160.26,
3,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x1d931d352abd807cf174bec052ce2291a74d0cdae1593b2b642f786a88cc5a17,23797,32097,16013,8006,0.000440,30643.15,30157.61,
3,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xc76e003fe5d1a7edfb54b0d66c492c41f5dad3f6d19aa66225e1295d39103ba9,23797,32097,16013,8006,0.000440,30645.94,30159.32,
4,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x938add89070f25767d90fda8d33ec53faae5cf2ec8efaab938f425d525976972,23798,32097,16013,8006,0.000440,29635.66,29159.99,
4,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x553df37978d940538e5a008bfee592fa89b80aab27268a9c3e1d85a2619c60dd,23798,32097,16013,8006,0.000440,29641.18,29159.61,
5,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x8ad51c254b73fc1fa352a63cd5101c4983bfc08419103c8eb0cd7c174099e4fa,23799,32097,16013,8006,0.000440,30637.17,30159.07,
5,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x70f82f35bb90fa41dc10cf361d6a9eb24bd05034ab0f0698b990ef1d72875610,23799,32097,16013,8006,0.000440,30642.51,30158.68,
6,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x07c3f8c8649117ea7319467e530b409257ca400bd12a02ace86d85146151f91d,23800,32097,32318,16159,0.000888,29638.41,29159.80,
6,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x21689d818142565a8ace737ae965eeb34d4d6315072fc130469262b11fa3b7e6,23800,32097,32318,16159,0.000888,29643.42,29161.51,
7,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xc9e0443b322e7172c5ddad3ca5801f916d4ab56ddce31219ea943f0d65256e40,23801,32097,32318,16159,0.000888,29635.97,29157.95,
7,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x147542da8b6e22ab11aa61da89c406b65209edeede0c22d5cddb5576aae59d6d,23801,32097,32318,16159,0.000888,29640.78,29159.90,
8,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x10ddcca101d8fd33aed22bd4d37ace9d61949fb33e0952b00a682671e097e918,23802,32097,32318,16159,0.000888,30632.12,30158.44,
8,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x90eaea696c5eac4e6dd6b38640b2d813813d10925aaa1c5da3338b1a1d7768b8,23802,32097,32318,16159,0.000888,30640.90,30163.62,
9,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x49a3acdc3196e1538865cb5085000632d2c1f53db20d4029a9ab7e182de083f8,23803,32097,32318,16159,0.000888,29645.34,29159.96,
9,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x19f193d1efcbd2b6c09f8440d2a8f8d726db3e0efcfd57abe2ffea5e13feb467,23803,32097,32318,16159,0.000888,29651.40,29160.41,
10,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x1b68874f2e221e73a5c3e786955c870a9ccd2af7f5b7cf1c46dc04dccea79fe6,23804,32097,32318,16159,0.000888,29637.60,29158.44,
10,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xfeec19b9e5b8d0ce72623bfca66aebd2a3eb2c051533285ab0858c71f6e2f62c,23804,32097,32318,16159,0.000888,29640.13,29160.60,
11,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xd42989c44d161feb705e3eacba06dc27d9efc3602b55b85bf9161367a4d6c585,23805,32097,32318,16159,0.000888,30639.65,30158.83,
11,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xe1514a938730cd2a1741bc459c8194a2bac70a80acd050ea342c9693daf22a44,23805,32097,32318,16159,0.000888,30642.92,30159.97,
12,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x6d6c951d052dbf7164431ae96ac9a97cbb28a8a07ff2a1a8fa7de2dd5570bdf9,23806,32097,32318,16159,0.000888,29638.47,29159.47,
12,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x10f28781d3c7d53431b3ff2c1f1aa7b1f14e7e3027b681b41b06eb0830dd80c9,23806,32097,32318,16159,0.000888,29641.99,29159.50,
13,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xca6a38f25d621b5d269c264e23c36e7e079be74cfca5fb08dba857e17213f705,23807,32097,32318,16159,0.000888,29638.32,29155.43,
13,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x8023d1d65ed7efe5d8c2ed7057cbf523133a228a65f9e779e9aae89d615c37f9,23807,32097,32318,16159,0.000888,29638.27,29159.09,
14,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xaf9fd8ac9801e72487658da8ed26f89dfffe1cae30d880232df9fd093a05c19e,23808,32097,32318,16159,0.000888,30631.87,30157.48,
14,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xb0b560ee966cb37137b1cf14afe497b049900247fb61d5a0d559c58fc2307dff,23808,32097,32318,16159,0.000888,30645.56,30162.88,
15,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x8b82f5352c92eb5d76c7164a11764b7142eacfa688135290d0bd3513071dc1ae,23809,32097,32318,16159,0.000888,29627.10,29156.41,
15,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x40cf7de2e3a505fa5933bd12d6ff76b43dc23fa7dd7521dbbd737683cf1ced11,23809,32097,32318,16159,0.000888,29647.94,29162.91,
16,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x2e35e34a369c8f6cd3f3654f0bb326c4fb1ffae5fce00ed08c0aa690065059ee,23810,32097,32318,16159,0.000888,29640.95,29158.33,
16,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x6bb7b1a658a445f29c9f9fbb4222ab410b5cfb936c6d74cd6c37550cf3ef291d,23810,32097,32318,16159,0.000888,30629.40,30156.36,
17,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xe0c9947fdebd8d184f8fc71c1c4d23285fb9ee4bd32fa6e0bea3e3de1ae11944,23811,32097,35422,17711,0.000973,29650.83,29182.09,
17,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x4408852c0bd7497447f859241e16719005ac5f609d0a5c9a619bb6b8380d703c,23811,32097,35422,17711,0.000973,30642.78,30162.78,
18,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xed7dcd03e6e66e824fa764d2d81d1b1cf4f81524783fc53ea6b1e6718927be1d,23812,32097,43079,21539,0.001183,29650.38,29160.43,
18,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xfe3600ce16597711f9a0b9b878fac42fcef7ed09526db6dde28f81eb6bf616ff,23812,32097,43079,21539,0.001183,29690.11,29174.87,
19,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x6e6dedbfabb589273535fa6e402ca65783a7570f67c4516ecfe48caa71364992,23813,32097,43079,21539,0.001183,29673.13,29164.69,
19,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x839cfd308595bae1fba1d3f2758c3f5688795565ca93a45b46bd407118dcbd2c,23813,32097,43079,21539,0.001183,30658.11,30162.58,
20,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xb675756207939eda94ec513f5d0ddbd49556c1d976d2ec61f7efcb39db6064a5,23814,32097,43079,21539,0.001183,29662.42,29161.03,
