vin,timestamp,total_distance_original_km,total_distance_snapped_km,distance_diff_km,route_distance_source,original_highway_km,original_city_km,highway_distance_snapped_km,city_distance_snapped_km,highway_diff_km,city_diff_km,start_lat,start_lon,end_lat,end_lon,start_noisy_lat,start_noisy_lon,end_noisy_lat,end_noisy_lon,start_snap_lat,start_snap_lon,end_snap_lat,end_snap_lon,gps_distance_snapped_km
93XATGK1WSCR19187,2025-04-01 15:49:46.297430,5.929315419560127,0.016294952705537432,5.913020466854589,haversine_fallback,1.807029461199277,4.12228595836085,0.004966080824544742,0.011328871880992691,1.8020633803747323,4.110957086479857,-5.8431992,-35.1977242,-5.8431281,-35.1975708,-5.84320306678824,-35.19771472428804,-5.843142740659426,-35.19756155508686,-5.843877134989709,-35.19779121621819,-5.843893417449844,-35.197644818740784,0.016294952705537432
93XATGK1WSCR19187,2025-04-01 16:00:00.612214,5.950694018399229,0.000681832376074925,5.950012186023154,haversine_fallback,1.014205241396738,4.9364887770024914,0.00011620795279190023,0.0005656244232830248,1.014089033443946,4.935923152579209,-5.8431389,-35.197623,-5.8431655,-35.1976157,-5.843133974709264,-35.197575665456526,-5.843148248676735,-35.19757104739238,-5.843891764840047,-35.19765971810875,-5.843892444317683,-35.19765359216943,0.000681832376074925
93XATGK1WSCR19187,2025-04-03 09:14:00.490689,5.924062322177523,0.006729934228046037,5.917332387949477,haversine_fallback,1.170055013810863,4.75400730836666,0.0013292218848987723,0.005400712343147264,1.1687257919259642,4.748606596023513,-5.8432125,-35.1976468,-5.8432379,-35.1976116,-5.84321089702725,-35.197680428168454,-5.843262996822983,-35.19762499783137,-5.843881220840669,-35.197754779221704,-5.843887927532675,-35.19769431396716,0.006729934228046037
93XATGK1WSCR19187,2025-04-03 09:25:17.829600,5.914713932206202,0.00888885025480278,5.9058250819513995,haversine_fallback,1.2782715091581167,4.636442423048085,0.0019210335715507836,0.006967816683251996,1.276350475586566,4.629474606364833,-5.8432266,-35.1976361,-5.843245,-35.19758,-5.843235621742682,-35.197630837036876,-5.843238709150588,-35.19755033486878,-5.843886955032607,-35.19770308169707,-5.843895813184802,-35.19762321960905,0.00888885025480278
9BRK29BT7J0135498,2025-04-01 13:50:03.832226,5.715424441677528,0.024767800322976957,5.690656641354551,haversine_fallback,0.7300374076764571,4.985387034001071,0.003163618192514703,0.021604182130462255,0.7268737894839424,4.963782851870608,-5.8432019,-35.197708,-5.8438781,-35.1976433,-5.843198903968827,-35.197733613804694,-5.843870500992849,-35.19758457226272,-5.843874965772473,-35.19781033196489,-5.843899740151237,-35.19758781541503,0.024767800322976957
9BRK29BT7J0135498,2025-04-01 14:02:37.446087,5.927031696451487,0.008544810636793767,5.918486885814693,haversine_fallback,0.6835423504253615,5.243489346026125,0.0009854409839094485,0.0075593696528843185,0.6825569094414521,5.235929976373241,-5.8432182,-35.1975421,-5.8435309,-35.1976745,-5.843200872856842,-35.197553135083666,-5.843539859184402,-35.197668450364695,-5.843895046528869,-35.19763013151826,-5.843886531228143,-35.19770690257401,0.008544810636793767
9BRK29BT7J0135498,2025-04-01 15:21:17.944818,5.974182084739328,0.011109708376019444,5.963072376363309,haversine_fallback,0.7478725732000631,5.226309511539265,0.0013907587805031705,0.009718949595516274,0.7464818144195599,5.2165905619437485,-5.843187,-35.1976302,-5.8432611,-35.1975546,-5.843192836857114,-35.19763483061599,-5.843269855740409,-35.197542329952036,-5.8438859974778845,-35.19771171468484,-5.843897068818366,-35.19761189924381,0.011109708376019444
9BRK29BT7J0135498,2025-04-01 15:34:50.497871,5.957542437892012,0.005078568715702949,5.9524638691763085,haversine_fallback,0.8772433039614448,5.080299133930566,0.0007478151345128935,0.004330753581190055,0.8764954888269318,5.0759683803493765,-5.8432338,-35.1975305,-5.8433396,-35.1976027,-5.84322856944137,-35.19753393847864,-5.843343086427106,-35.19759283036916,-5.843897486507771,-35.197608133498164,-5.843892425478098,-35.19765376202072,0.005078568715702949
9BD376AT1SYB85622,2025-01-31 15:03:46.818287,5.991391890472533,0.004642930267798596,5.986748960204735,haversine_fallback,1.884148198501346,4.107243691971187,0.0014600895517702741,0.003182840716028322,1.8826881089495757,4.104060851255159,-5.8431164,-35.1975813,-5.8432602,-35.1975297,-5.843051363346354,-35.19757905190329,-5.843215732361514,-35.19755505567963,-5.843890389785426,-35.19767211513363,-5.843895016681128,-35.19763040061533,0.004642930267798596
9BD376AT1SYB85622,2025-02-01 08:35:56.658757,199.3708413605134,146.76585937111602,52.60498198939737,haversine_fallback,128.49280650043406,70.87803486007935,94.58934436125492,52.1765150098611,33.90346213917914,18.701519850218254,-5.8610489,-35.2142556,-7.0161312,-35.8570733,-5.861053567877976,-35.214291283544235,-7.016088288562563,-35.8570836159839,-5.8610778066659295,-35.21422833272736,-7.0160754460474415,-35.857128515581785,146.76585937111602
