linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
1,13,0xe11F4bCb73DCb02c763Bc32e1d6Ab265Ea435253,0xc4c0a438babf79a22f9917813f5d362e02e6d9c94842b09e32bd0e4a95be838e,28494,32097,8605,4302,0.000236,10772.66,10124.46,
1,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x43d2ccdc6d5b1fa2c1fa849195174b32ffd0a303d333af2db67076e2eaf1cfd3,28494,32097,8605,4302,0.000236,10786.63,10127.44,
1,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x340e20cd995679cd781a15de7c76ad1c4c042fcaef68e2c3c9ff6f995c5d611e,28494,32097,8605,4302,0.000236,10798.12,10131.71,
1,10,0x14B3Dd781384060d8a63983687420c850874fdF2,0x83498e16e221a573202fa33c2a1622b94ad8b32338656a1db34ad59ac7cc42ae,28494,32097,8605,4302,0.000236,10797.59,10134.59,
1,9,0x8BA126323e880b8477F5eA93444A5c64D2f59A2D,0xde681604972c2e183058c759cd7eb643687558e50c0dae4ecb7f15395bc4b412,28494,32097,8605,4302,0.000236,10801.14,10129.41,
1,7,0xA67bF22475426b8B1b3ba700f11283E10B3E53F8,0xab71ba4cc4acb26a3c4d67e8ec594f0bb7ef4b8aca38380ccb343e62cbd634cf,28494,32097,8605,4302,0.000236,10828.72,10135.52,
1,11,0xE18bF9Fa8f80F14e465716a87035576239b51e56,0xfa4b2cd26fdae6d4f9b078f4d3f3f8e4d2007b5f16d1fe60b5ec74880d848cf2,28494,32097,8605,4302,0.000236,10831.17,10136.73,
1,12,0xBA18Cd9f32893243bbb6C4f354cb182Afac310F7,0xd5966e25f018b1f2480c8918ce47e3f8524ac11313e2831689d0c2be158de4b8,28494,32097,8605,4302,0.000236,10838.07,10139.21,
1,15,0x9f931889bdb0e05d098Cc774Cfd8FeE2E10d4321,0xe933080e958d626d9a2207d2129f11745966d85e6217958cd437b804a9ba1f0d,28494,32097,8605,4302,0.000236,10852.18,10141.34,
1,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x125c2765256fdd49570c3479cdbfdc6f1c52958a8476981c330b806720aeda0a,28494,32097,8605,4302,0.000236,10865.92,10142.45,
1,5,0x3d384Df30cE4C9Ef98faB12593Af1D4B383fF3ad,0xcc91653ca825f9daf548b921abcf9693033adf4adfe5a8d5cecfdc6a449896d4,28494,32097,8605,4302,0.000236,10893.27,10129.67,
1,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x3096bbc436527ad2edde71d97db7d690354794e42ba8c42871d9f214c611caf0,28494,32097,8605,4302,0.000236,10902.70,10144.12,
1,16,0x817007D27a7D8DF5AB038b5959B5c1fA934cF9f2,0x2049c9ba754935d211f9f2dfd27cb6610c08750e5ad8d55aa49edfd4feaedd4a,28494,32097,8605,4302,0.000236,10903.84,10139.09,
1,8,0xFf02645cd3b555B438c6856320a3E38da27Fc11a,0xf0719c8044d102bc551d5d19d441625337530e0fb4d3a45e4fd79567f28206d4,28494,32097,8605,4302,0.000236,10906.20,10141.31,
1,14,0x4Bea328aB89C868d1D4c90FbCC1d858a9e8aBD21,0xa267d42b33f7c5d9b66c6402687ebf37cc5d05b24b1cd79af6b44f178721d847,28494,32097,8605,4302,0.000236,10914.52,10144.05,
1,6,0xC6a49aB58c204D4A3EA0d3D41a2b94Af71134598,0x03b0ea0c930f6bf6e65c2cc75b13b283caf40aa215b2c5381926f9612a57ad09,28494,32097,8605,4302,0.000236,10927.45,10147.72,
2,13,0xe11F4bCb73DCb02c763Bc32e1d6Ab265Ea435253,0x708862baa7cbc2c77172cfcd7abdd4ba845862dd94c3ab6508e0de3022ecf69b,28495,32097,11874,5937,0.000326,30484.24,30124.10,
2,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x21470bd40c34a89ddb58df8e8317532e2915e4886437b83150e37005659e38d4,28495,32097,11874,5937,0.000326,30497.20,30127.91,
2,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xaa45696239d3b6b8e1f7026e4a324707f210e4f691675fac2c0ef9e77a1476de,28495,32097,11874,5937,0.000326,30506.97,30126.76,
2,10,0x14B3Dd781384060d8a63983687420c850874fdF2,0x8906e5cdf50588057f67e6422d772374ec457ed7b56b3ab795ba46f30ef2c6b1,28495,32097,11874,5937,0.000326,30518.82,30127.40,
2,9,0x8BA126323e880b8477F5eA93444A5c64D2f59A2D,0xece9c077d0a8f8b2b11415ed21c3473b99f9cede6d59a8ac89f3d279caa62994,28495,32097,11874,5937,0.000326,30517.30,30129.53,
2,7,0xA67bF22475426b8B1b3ba700f11283E10B3E53F8,0xfb1f6f689baa0dfd64c22640746fe9dc698d33bcd79f883a01a0ce16841ceb27,28495,32097,11874,5937,0.000326,30510.15,30133.06,
2,11,0xE18bF9Fa8f80F14e465716a87035576239b51e56,0xec0576fd0ebf7b9d13f60ffc799dd9f1f53229820505e918a084152505bb05e1,28495,32097,11874,5937,0.000326,30520.91,30134.67,
2,5,0x3d384Df30cE4C9Ef98faB12593Af1D4B383fF3ad,0x09d30ff96b8426f4578b871e285f12a423a1889c99f13f55b2fc3efd872afadb,28495,32097,11874,5937,0.000326,30499.24,30129.47,
2,15,0x9f931889bdb0e05d098Cc774Cfd8FeE2E10d4321,0x45db0bb2e2ad6049a55c9cdeb8e603209c919b8019b27622a5bb37457f8b4e4a,28495,32097,11874,5937,0.000326,30547.25,30136.72,
2,12,0xBA18Cd9f32893243bbb6C4f354cb182Afac310F7,0xcbb04be8e62daeaa07f124dc289094fdc1f17b3e1fc5b15b4c81a726fab4de9d,28495,32097,11874,5937,0.000326,30563.68,30138.41,
2,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x758eae415f63fbbbbd18e2650ffb0ce6c1a899a18859ca7d5562dafa8639f17f,28495,32097,11874,5937,0.000326,30559.84,30141.23,
